winner,loser,probability
Oklahoma City Thunder,Houston Rockets,0.5500569439075615
Dallas Mavericks,Toronto Raptors,0.5665432938083512
Denver Nuggets,Utah Jazz,0.5354327808226036
Detroit Pistons,Indiana Pacers,0.5451572249385721
Los Angeles Clippers,Sacramento Kings,0.5404819853819846
Miami Heat,Orlando Magic,0.5326721456279286
Milwaukee Bucks,Chicago Bulls,0.5651353113287062
Phoenix Suns,Memphis Grizzlies,0.5359602924258904
San Antonio Spurs,Brooklyn Nets,0.5343335336576548
Atlanta Hawks,Washington Wizards,0.6388806582830513
Chicago Bulls,New York Knicks,0.5459857505687593
Charlotte Hornets,Boston Celtics,0.5433520219011355
Golden State Warriors,Utah Jazz,0.5592043502423293
Indiana Pacers,Dallas Mavericks,0.5524516625913735
Los Angeles Lakers,Memphis Grizzlies,0.5586128402398778
Denver Nuggets,Minnesota Timberwolves,0.5037624441640021
New Orleans Pelicans,Brooklyn Nets,0.5210782876454921
Oklahoma City Thunder,Toronto Raptors,0.5625714201680796
Sacramento Kings,Cleveland Cavaliers,0.5753613239197556
Boston Celtics,Houston Rockets,0.5586334482436036
Milwaukee Bucks,Minnesota Timberwolves,0.550162345242949
Orlando Magic,Detroit Pistons,0.5390521822298552
Portland Trail Blazers,Philadelphia 76ers,0.5675041435520644
San Antonio Spurs,New York Knicks,0.5443204854993989
Chicago Bulls,Indiana Pacers,0.55569194243169
Golden State Warriors,Charlotte Hornets,0.5398316381771344
Los Angeles Lakers,Los Angeles Clippers,0.5531311940384591
Miami Heat,Brooklyn Nets,0.5333223493085932
New Orleans Pelicans,Dallas Mavericks,0.54421831750606
Oklahoma City Thunder,Milwaukee Bucks,0.5682380679211632
Sacramento Kings,Phoenix Suns,0.5014897339775827
Toronto Raptors,Atlanta Hawks,0.5691021829759878
Washington Wizards,Houston Rockets,0.583050144048221
Atlanta Hawks,Portland Trail Blazers,0.5461452176711169
Denver Nuggets,Philadelphia 76ers,0.5212968651884133
Detroit Pistons,San Antonio Spurs,0.5421209675495527
Golden State Warriors,Memphis Grizzlies,0.5444053486384576
New Orleans Pelicans,New York Knicks,0.5311000518958168
Orlando Magic,Miami Heat,0.5538728921763681
Utah Jazz,Cleveland Cavaliers,0.5743021097774469
Boston Celtics,Brooklyn Nets,0.53318824859233
Houston Rockets,Los Angeles Lakers,0.5453762558417681
Indiana Pacers,Minnesota Timberwolves,0.5393195896205899
Los Angeles Clippers,Charlotte Hornets,0.5494481372266465
Oklahoma City Thunder,Dallas Mavericks,0.5476561084569598
Phoenix Suns,Philadelphia 76ers,0.5367344086369406
Sacramento Kings,Memphis Grizzlies,0.5495203084210603
Washington Wizards,Chicago Bulls,0.5825711679716308
Brooklyn Nets,Orlando Magic,0.5199455239046644
Chicago Bulls,Portland Trail Blazers,0.538254586401702
Minnesota Timberwolves,Los Angeles Lakers,0.505894441415848
Toronto Raptors,Milwaukee Bucks,0.5721391840295947
Cleveland Cavaliers,Portland Trail Blazers,0.5200284415256293
Los Angeles Clippers,Memphis Grizzlies,0.5540052333098113
New York Knicks,San Antonio Spurs,0.5536050463736054
Phoenix Suns,Atlanta Hawks,0.5624542102134205
Sacramento Kings,Charlotte Hornets,0.5449550265486934
Boston Celtics,Cleveland Cavaliers,0.5732139710958044
Brooklyn Nets,Minnesota Timberwolves,0.5305699326286151
Chicago Bulls,Toronto Raptors,0.5738654088618985
Dallas Mavericks,Golden State Warriors,0.5525146737771595
Phoenix Suns,Denver Nuggets,0.5276337285893893
Los Angeles Lakers,Oklahoma City Thunder,0.5634708393877516
Miami Heat,Detroit Pistons,0.53613602106766
Milwaukee Bucks,Indiana Pacers,0.559901021522788
Orlando Magic,Houston Rockets,0.5616564992618879
Philadelphia 76ers,San Antonio Spurs,0.5367695235377952
Utah Jazz,New Orleans Pelicans,0.5415466993863296
Washington Wizards,New York Knicks,0.5677889431892957
Houston Rockets,Golden State Warriors,0.5734764361952567
Los Angeles Clippers,Oklahoma City Thunder,0.5588738982002074
Boston Celtics,Minnesota Timberwolves,0.5431286225479007
Dallas Mavericks,Chicago Bulls,0.5535655926574501
Denver Nuggets,Utah Jazz,0.5354327808226036
Los Angeles Lakers,Charlotte Hornets,0.5540649280277831
Memphis Grizzlies,Washington Wizards,0.6446520753997274
Miami Heat,New York Knicks,0.5433124524877816
Milwaukee Bucks,Toronto Raptors,0.5780330575481385
Philadelphia 76ers,Detroit Pistons,0.5228496138221956
Portland Trail Blazers,Atlanta Hawks,0.592811633072387
San Antonio Spurs,Phoenix Suns,0.5004444407558133
Brooklyn Nets,Boston Celtics,0.5374090977314528
Detroit Pistons,Houston Rockets,0.5509134953681097
Indiana Pacers,Chicago Bulls,0.5543611226279689
Los Angeles Clippers,Golden State Warriors,0.5637299398638617
Minnesota Timberwolves,New Orleans Pelicans,0.5175796086767267
Orlando Magic,Cleveland Cavaliers,0.5762129157638678
Sacramento Kings,Denver Nuggets,0.5213638128329074
Washington Wizards,Milwaukee Bucks,0.6008654764630154
Dallas Mavericks,New York Knicks,0.5385697779239353
Los Angeles Lakers,Atlanta Hawks,0.58481531430303
Miami Heat,Utah Jazz,0.5622580149903326
Phoenix Suns,Oklahoma City Thunder,0.540862689239821
Portland Trail Blazers,San Antonio Spurs,0.5692403930671041
Brooklyn Nets,Toronto Raptors,0.5586807992508084
Chicago Bulls,Houston Rockets,0.5614221480747843
Golden State Warriors,Denver Nuggets,0.5162106118449586
Indiana Pacers,Milwaukee Bucks,0.5729855551496214
Los Angeles Clippers,Atlanta Hawks,0.5802757143658268
Minnesota Timberwolves,Cleveland Cavaliers,0.5506264743220853
New Orleans Pelicans,Detroit Pistons,0.5238998799834951
Sacramento Kings,San Antonio Spurs,0.5520415904279948
Dallas Mavericks,Orlando Magic,0.5279149848143404
Los Angeles Lakers,Sacramento Kings,0.5451145884731826
Oklahoma City Thunder,Portland Trail Blazers,0.5267950468603156
Toronto Raptors,Miami Heat,0.5461836625051276
Brooklyn Nets,Detroit Pistons,0.5234193325776285
Charlotte Hornets,Dallas Mavericks,0.5496701623240375
Denver Nuggets,Atlanta Hawks,0.5471506161615295
Golden State Warriors,Los Angeles Clippers,0.5388929040478875
Houston Rockets,Portland Trail Blazers,0.5519747938509626
Indiana Pacers,Miami Heat,0.5470407288384885
Memphis Grizzlies,New Orleans Pelicans,0.5573300839336308
Milwaukee Bucks,Orlando Magic,0.539596578554065
Minnesota Timberwolves,Oklahoma City Thunder,0.5294412857683427
New York Knicks,Chicago Bulls,0.561870189936155
Washington Wizards,Utah Jazz,0.5864919133280003
Los Angeles Lakers,San Antonio Spurs,0.5611238757388761
Philadelphia 76ers,Boston Celtics,0.5368413043649841
Sacramento Kings,Los Angeles Clippers,0.5440179158194882
Toronto Raptors,Cleveland Cavaliers,0.568608833030133
Atlanta Hawks,Brooklyn Nets,0.5439006855211793
Charlotte Hornets,Utah Jazz,0.5555716228467239
Denver Nuggets,Memphis Grizzlies,0.5205199972602457
Indiana Pacers,Cleveland Cavaliers,0.5694569324769322
Milwaukee Bucks,Golden State Warriors,0.5640901811143937
Minnesota Timberwolves,New York Knicks,0.5203318511225502
New Orleans Pelicans,Portland Trail Blazers,0.5233367039333908
Phoenix Suns,Houston Rockets,0.5472977465097913
Washington Wizards,Orlando Magic,0.5572541936705586
Chicago Bulls,Detroit Pistons,0.5388156692255758
Charlotte Hornets,Oklahoma City Thunder,0.5456455118154947
Dallas Mavericks,Los Angeles Lakers,0.524179326536238
Los Angeles Clippers,Sacramento Kings,0.5404819853819846
San Antonio Spurs,Denver Nuggets,0.5203203319773965
Toronto Raptors,Golden State Warriors,0.5524556567139862
Washington Wizards,Brooklyn Nets,0.5578985820302677
Miami Heat,Milwaukee Bucks,0.5768662075178067
Minnesota Timberwolves,Portland Trail Blazers,0.5125538490744281
New York Knicks,New Orleans Pelicans,0.544191693433712
Phoenix Suns,Indiana Pacers,0.5415336989429507
Atlanta Hawks,San Antonio Spurs,0.5605137379032863
Brooklyn Nets,New York Knicks,0.5306202607819064
Chicago Bulls,Miami Heat,0.5536376867685285
Cleveland Cavaliers,Golden State Warriors,0.5417905273332791
Detroit Pistons,Charlotte Hornets,0.535009655668007
Los Angeles Clippers,Houston Rockets,0.5652594251008997
Memphis Grizzlies,Los Angeles Lakers,0.5457627501452463
Oklahoma City Thunder,Sacramento Kings,0.525140936146374
Philadelphia 76ers,Toronto Raptors,0.5581176469255142
Utah Jazz,Indiana Pacers,0.5539954585680307
Washington Wizards,Milwaukee Bucks,0.6008654764630154
Boston Celtics,New Orleans Pelicans,0.5404418322759464
Denver Nuggets,Dallas Mavericks,0.5294903765371871
Orlando Magic,Minnesota Timberwolves,0.546171597183989
Portland Trail Blazers,Phoenix Suns,0.5189380879281487
Atlanta Hawks,New Orleans Pelicans,0.5511279465580963
Brooklyn Nets,San Antonio Spurs,0.5373373290633758
Chicago Bulls,Golden State Warriors,0.5598896738909652
Charlotte Hornets,Washington Wizards,0.6226514973887342
Los Angeles Clippers,Denver Nuggets,0.5258872048201738
Memphis Grizzlies,New York Knicks,0.5600483134404092
Milwaukee Bucks,Miami Heat,0.5578507421898952
Oklahoma City Thunder,Los Angeles Lakers,0.5201480525512141
Sacramento Kings,Utah Jazz,0.5642861382148623
Toronto Raptors,Detroit Pistons,0.5313236604677373
Boston Celtics,Philadelphia 76ers,0.5481162235676594
Cleveland Cavaliers,Orlando Magic,0.5171165409547088
Houston Rockets,Minnesota Timberwolves,0.5596143686022287
Portland Trail Blazers,Indiana Pacers,0.5722387150227172
Brooklyn Nets,Miami Heat,0.5383121807639404
Phoenix Suns,Denver Nuggets,0.5276337285893893
Detroit Pistons,Washington Wizards,0.6215532064242693
Los Angeles Lakers,Indiana Pacers,0.5641354348427002
Memphis Grizzlies,Sacramento Kings,0.5507193215224836
Toronto Raptors,San Antonio Spurs,0.5452113896271973
Utah Jazz,New York Knicks,0.5442825991020394
Atlanta Hawks,Chicago Bulls,0.5687506098300436
Charlotte Hornets,Miami Heat,0.5442533419506396
Cleveland Cavaliers,Oklahoma City Thunder,0.5368908974816623
Houston Rockets,Golden State Warriors,0.5734764361952567
Minnesota Timberwolves,Toronto Raptors,0.5484840826398262
New Orleans Pelicans,Memphis Grizzlies,0.5352822875392068
Philadelphia 76ers,Milwaukee Bucks,0.5637972547958482
Portland Trail Blazers,Dallas Mavericks,0.5755507223998139
Utah Jazz,Los Angeles Clippers,0.5429426260094564
Boston Celtics,Orlando Magic,0.5325380218389921
Detroit Pistons,Brooklyn Nets,0.5254013452983156
Los Angeles Lakers,New York Knicks,0.554465808163457
San Antonio Spurs,Indiana Pacers,0.5540331991062459
Atlanta Hawks,Utah Jazz,0.5727059547215717
Charlotte Hornets,Sacramento Kings,0.5271686866908659
Dallas Mavericks,Washington Wizards,0.6245348464412668
Denver Nuggets,Portland Trail Blazers,0.5085433453743772
Houston Rockets,Miami Heat,0.5672682833226631
Los Angeles Clippers,Minnesota Timberwolves,0.5497997800929559
Memphis Grizzlies,Philadelphia 76ers,0.5649494775939602
Milwaukee Bucks,Phoenix Suns,0.5063891602821339
New Orleans Pelicans,Chicago Bulls,0.5461340460858309
Golden State Warriors,New York Knicks,0.5402346960100493
Los Angeles Lakers,Boston Celtics,0.5611949678047372
Oklahoma City Thunder,Brooklyn Nets,0.5245381295199169
Orlando Magic,Sacramento Kings,0.5368419688084016
San Antonio Spurs,Cleveland Cavaliers,0.5743394522582393
Atlanta Hawks,Toronto Raptors,0.5816205110803429
Charlotte Hornets,New Orleans Pelicans,0.5338326513345921
Dallas Mavericks,Houston Rockets,0.554052374030746
Detroit Pistons,Utah Jazz,0.5544178098603982
Phoenix Suns,Indiana Pacers,0.5045410873521741
Los Angeles Clippers,Boston Celtics,0.5565929198750181
Memphis Grizzlies,San Antonio Spurs,0.566688152171038
Philadelphia 76ers,Chicago Bulls,0.5450902388537012
Portland Trail Blazers,Minnesota Timberwolves,0.5625597517969531
Denver Nuggets,New York Knicks,0.5163249530429204
Golden State Warriors,Minnesota Timberwolves,0.5401845054157867
Miami Heat,Sacramento Kings,0.5339239146759359
Oklahoma City Thunder,Washington Wizards,0.6207386345501026
Chicago Bulls,Los Angeles Lakers,0.5316254432634239
Charlotte Hornets,Atlanta Hawks,0.5671920980824762
Cleveland Cavaliers,Indiana Pacers,0.5375627488562785
Dallas Mavericks,Portland Trail Blazers,0.5308208489389646
Memphis Grizzlies,Los Angeles Clippers,0.5587171128943355
Milwaukee Bucks,Brooklyn Nets,0.5402454634181401
New Orleans Pelicans,Houston Rockets,0.5466222940251654
Phoenix Suns,New York Knicks,0.5317788212164284
San Antonio Spurs,Philadelphia 76ers,0.54925584556602
Toronto Raptors,Utah Jazz,0.557492981419964
Atlanta Hawks,Washington Wizards,0.6388806582830513
Denver Nuggets,Dallas Mavericks,0.5294903765371871
Detroit Pistons,Oklahoma City Thunder,0.5444870576590586
Golden State Warriors,Boston Celtics,0.5470031904777866
Indiana Pacers,Orlando Magic,0.5287173089650038
Miami Heat,Charlotte Hornets,0.5429098099114338
Minnesota Timberwolves,Brooklyn Nets,0.5102921498921095
Chicago Bulls,Milwaukee Bucks,0.5794951095012356
Cleveland Cavaliers,Detroit Pistons,0.520591945670327
Houston Rockets,Phoenix Suns,0.5159517136196938
New Orleans Pelicans,Los Angeles Clippers,0.5297548061824037
Oklahoma City Thunder,Philadelphia 76ers,0.5395038171969261
San Antonio Spurs,Sacramento Kings,0.534934932202213
Toronto Raptors,Los Angeles Lakers,0.524119791141511
Atlanta Hawks,Minnesota Timberwolves,0.5538038418720611
Dallas Mavericks,Miami Heat,0.5462428273294389
Denver Nuggets,Boston Celtics,0.5231347359181652
Indiana Pacers,Charlotte Hornets,0.538966625125902
Memphis Grizzlies,Phoenix Suns,0.5163410387372842
Milwaukee Bucks,Philadelphia 76ers,0.5551360538481522
Detroit Pistons,Cleveland Cavaliers,0.565550710979618
Houston Rockets,Orlando Magic,0.5490886529735695
Los Angeles Clippers,Portland Trail Blazers,0.542129250651232
New Orleans Pelicans,Sacramento Kings,0.5216814807882286
New York Knicks,Brooklyn Nets,0.5369465850354938
San Antonio Spurs,Denver Nuggets,0.5203203319773965
Toronto Raptors,Minnesota Timberwolves,0.5384602398554617
Utah Jazz,Golden State Warriors,0.5581964749537888
Washington Wizards,Oklahoma City Thunder,0.5767302572178099
Atlanta Hawks,Charlotte Hornets,0.5534527863506101
Boston Celtics,New York Knicks,0.5431787635484729
Brooklyn Nets,Philadelphia 76ers,0.5355774013383504
Cleveland Cavaliers,Miami Heat,0.5354947386522102
Indiana Pacers,Memphis Grizzlies,0.5435416634195538
Orlando Magic,Los Angeles Lakers,0.5318624399583897
Phoenix Suns,Dallas Mavericks,0.544894369612885
Portland Trail Blazers,Chicago Bulls,0.5774370115884491
Denver Nuggets,Oklahoma City Thunder,0.5254410817112146
Detroit Pistons,Memphis Grizzlies,0.5395904172854644
Minnesota Timberwolves,Milwaukee Bucks,0.5541886064273386
San Antonio Spurs,Houston Rockets,0.5597678496481517
Washington Wizards,Toronto Raptors,0.5953220857216769
Boston Celtics,Atlanta Hawks,0.5737060028970249
Brooklyn Nets,Los Angeles Lakers,0.5162045952305151
Charlotte Hornets,Indiana Pacers,0.546315394864057
Milwaukee Bucks,New York Knicks,0.5502123535792613
Oklahoma City Thunder,New Orleans Pelicans,0.5318080980097039
Philadelphia 76ers,Miami Heat,0.5377445424096843
Phoenix Suns,Utah Jazz,0.5508072705200258
Sacramento Kings,Golden State Warriors,0.5592650091680936
Toronto Raptors,Portland Trail Blazers,0.530761400643422
Cleveland Cavaliers,Houston Rockets,0.5433346205283066
Denver Nuggets,Golden State Warriors,0.5303558842994083
Detroit Pistons,Miami Heat,0.5430943105172414
Indiana Pacers,Philadelphia 76ers,0.5443138853600087
Los Angeles Clippers,Chicago Bulls,0.5647752673909215
Minnesota Timberwolves,New Orleans Pelicans,0.5175796086767267
Orlando Magic,Washington Wizards,0.6317359632131975
Sacramento Kings,Dallas Mavericks,0.5584084181843988
San Antonio Spurs,Utah Jazz,0.5632578454382811
Boston Celtics,Portland Trail Blazers,0.5354404708709786
Brooklyn Nets,Milwaukee Bucks,0.5643588187043618
New York Knicks,Atlanta Hawks,0.5773966820464403
Oklahoma City Thunder,Los Angeles Lakers,0.5201480525512141
Phoenix Suns,Charlotte Hornets,0.5313747807812895
Toronto Raptors,Memphis Grizzlies,0.5426835111670952
Denver Nuggets,Charlotte Hornets,0.515919716459538
Detroit Pistons,Portland Trail Blazers,0.5276578549024318
Indiana Pacers,Washington Wizards,0.6252895161272036
Los Angeles Clippers,Dallas Mavericks,0.5628752440662451
Miami Heat,Orlando Magic,0.5326721456279286
New Orleans Pelicans,Utah Jazz,0.5501327502193514
Sacramento Kings,Chicago Bulls,0.5603126907228396
Atlanta Hawks,Memphis Grizzlies,0.5580019612884893
Brooklyn Nets,Houston Rockets,0.5461448129525484
Golden State Warriors,Oklahoma City Thunder,0.5492935536607325
Los Angeles Lakers,Phoenix Suns,0.5106884851297107
New York Knicks,Milwaukee Bucks,0.5804183238036833
Orlando Magic,Cleveland Cavaliers,0.5762129157638678
Philadelphia 76ers,Washington Wizards,0.6164733490815295
Toronto Raptors,Boston Celtics,0.5452829704895047
Cleveland Cavaliers,Minnesota Timberwolves,0.5277466926181373
Detroit Pistons,Brooklyn Nets,0.5254013452983156
Memphis Grizzlies,Utah Jazz,0.5788377837990369
Miami Heat,Houston Rockets,0.5587662883294767
Phoenix Suns,San Antonio Spurs,0.5384937299827304
Golden State Warriors,Dallas Mavericks,0.5533123436938385
Los Angeles Lakers,Oklahoma City Thunder,0.5634708393877516
Orlando Magic,Atlanta Hawks,0.5767040433151526
Portland Trail Blazers,Charlotte Hornets,0.5622101394060952
Toronto Raptors,New York Knicks,0.5385104578684774
Washington Wizards,Boston Celtics,0.5744713089128085
Atlanta Hawks,Cleveland Cavaliers,0.5837250036727517
Boston Celtics,Indiana Pacers,0.5528958235171514
Chicago Bulls,Minnesota Timberwolves,0.5459356601148334
Detroit Pistons,Los Angeles Clippers,0.5340695749198281
Houston Rockets,Denver Nuggets,0.5357829406661132
Miami Heat,Milwaukee Bucks,0.5768662075178067
Philadelphia 76ers,New Orleans Pelicans,0.5273042845916331
Sacramento Kings,Portland Trail Blazers,0.5376245734535432
Utah Jazz,Charlotte Hornets,0.5438800937931525
Brooklyn Nets,New Orleans Pelicans,0.5278734873468827
Chicago Bulls,Washington Wizards,0.6315144979181865
Dallas Mavericks,Los Angeles Lakers,0.524179326536238
Golden State Warriors,San Antonio Spurs,0.5469316554104271
Orlando Magic,Milwaukee Bucks,0.5797270327446846
Philadelphia 76ers,Los Angeles Clippers,0.5287058369230799
Phoenix Suns,Denver Nuggets,0.5077155197881001
Atlanta Hawks,Detroit Pistons,0.5467047870742036
Boston Celtics,Cleveland Cavaliers,0.5732139710958044
Charlotte Hornets,Toronto Raptors,0.564571864983252
Houston Rockets,Dallas Mavericks,0.5726263589809961
Indiana Pacers,New York Knicks,0.5393697941186719
Minnesota Timberwolves,Sacramento Kings,0.5108961766356618
Oklahoma City Thunder,Memphis Grizzlies,0.538730351636585
Portland Trail Blazers,Utah Jazz,0.5813713275070594
Brooklyn Nets,Los Angeles Clippers,0.5292748585903128
Chicago Bulls,Orlando Magic,0.5353544620119973
Detroit Pistons,New Orleans Pelicans,0.5326698742739647
Phoenix Suns,Golden State Warriors,0.5036707284248161
Philadelphia 76ers,New York Knicks,0.5300514214116193
Utah Jazz,San Antonio Spurs,0.5509696043468929
Dallas Mavericks,Sacramento Kings,0.5291682331837083
Denver Nuggets,San Antonio Spurs,0.5230627180532688
Milwaukee Bucks,Atlanta Hawks,0.5806324569049928
Minnesota Timberwolves,Houston Rockets,0.5358990619306991
Oklahoma City Thunder,Cleveland Cavaliers,0.5647000182980509
Toronto Raptors,Miami Heat,0.5461836625051276
Boston Celtics,Los Angeles Clippers,0.5418382768986777
Brooklyn Nets,Indiana Pacers,0.540378413712121
Chicago Bulls,Toronto Raptors,0.5738654088618985
Detroit Pistons,Atlanta Hawks,0.5660448891410834
Houston Rockets,Sacramento Kings,0.5503335698012862
Memphis Grizzlies,Oklahoma City Thunder,0.5690282139701298
New Orleans Pelicans,Los Angeles Lakers,0.5166857000395786
New York Knicks,Washington Wizards,0.6323959523084287
Orlando Magic,Charlotte Hornets,0.5458194614549099
Philadelphia 76ers,Miami Heat,0.5377445424096843
Portland Trail Blazers,Golden State Warriors,0.5763992858030662
Utah Jazz,Phoenix Suns,0.5004062546052435
Milwaukee Bucks,Denver Nuggets,0.5262524338461588
Minnesota Timberwolves,Los Angeles Lakers,0.505894441415848
Chicago Bulls,Philadelphia 76ers,0.5509179549019843
Charlotte Hornets,Brooklyn Nets,0.526566133519993
Cleveland Cavaliers,Washington Wizards,0.6143319086226834
Golden State Warriors,Los Angeles Clippers,0.5388929040478875
Orlando Magic,New York Knicks,0.5462216832443003
Sacramento Kings,Oklahoma City Thunder,0.5543985533196384
Denver Nuggets,San Antonio Spurs,0.5230627180532688
Detroit Pistons,Boston Celtics,0.5421926263897743
Houston Rockets,Minnesota Timberwolves,0.5596143686022287
Indiana Pacers,Atlanta Hawks,0.5699500460750899
Los Angeles Lakers,Dallas Mavericks,0.5674627592450224
Memphis Grizzlies,Cleveland Cavaliers,0.5898119606025212
New Orleans Pelicans,Miami Heat,0.538790943368205
Phoenix Suns,Los Angeles Clippers,0.5304338011249936
Toronto Raptors,Milwaukee Bucks,0.5721391840295947
Utah Jazz,Portland Trail Blazers,0.5365470509004807
Washington Wizards,Charlotte Hornets,0.5673906976487105
Golden State Warriors,Oklahoma City Thunder,0.5492935536607325
Miami Heat,Memphis Grizzlies,0.5474785721247503
Minnesota Timberwolves,Chicago Bulls,0.535409080991155
New York Knicks,Boston Celtics,0.5536763876196747
Philadelphia 76ers,Orlando Magic,0.5193754656246562
Phoenix Suns,Portland Trail Blazers,0.5240166395206817
Sacramento Kings,Los Angeles Lakers,0.5309942666471708
Utah Jazz,Dallas Mavericks,0.5573394509760576
Charlotte Hornets,Detroit Pistons,0.529384594730713
Cleveland Cavaliers,San Antonio Spurs,0.5345190820760272
Denver Nuggets,Houston Rockets,0.5319052188433343
Milwaukee Bucks,New Orleans Pelicans,0.5474824558381509
Washington Wizards,Philadelphia 76ers,0.5726696723333224
Atlanta Hawks,Los Angeles Lakers,0.5395324459403623
Boston Celtics,Memphis Grizzlies,0.5473450866844574
Brooklyn Nets,Chicago Bulls,0.5456564782069849
Dallas Mavericks,Indiana Pacers,0.5483033494240765
Phoenix Suns,New Orleans Pelicans,0.5128495911964492
New York Knicks,Golden State Warriors,0.5608233107168531
Oklahoma City Thunder,Orlando Magic,0.5238866130049937
Sacramento Kings,Minnesota Timberwolves,0.5453072741727709
Toronto Raptors,Detroit Pistons,0.5313236604677373
Utah Jazz,Houston Rockets,0.5597302087603995
Charlotte Hornets,Chicago Bulls,0.5515818571095652
Cleveland Cavaliers,Brooklyn Nets,0.5177687940877709
Denver Nuggets,Los Angeles Clippers,0.5149760298435464
Miami Heat,Philadelphia 76ers,0.5482496692914518
Milwaukee Bucks,Washington Wizards,0.6354764709749529
Portland Trail Blazers,Sacramento Kings,0.5532914763769142
Atlanta Hawks,Indiana Pacers,0.5635262270677942
Boston Celtics,Charlotte Hornets,0.5427761022957854
Dallas Mavericks,Oklahoma City Thunder,0.547633971155136
Detroit Pistons,Milwaukee Bucks,0.5690871224871601
Los Angeles Clippers,Houston Rockets,0.5652594251008997
Memphis Grizzlies,Phoenix Suns,0.5163410387372842
Orlando Magic,Toronto Raptors,0.5740981550695099
San Antonio Spurs,New Orleans Pelicans,0.5415846216668613
Washington Wizards,Golden State Warriors,0.5815369134013415
Cleveland Cavaliers,Philadelphia 76ers,0.53275775589123
Miami Heat,Los Angeles Lakers,0.5289405415338154
Portland Trail Blazers,Minnesota Timberwolves,0.5625597517969531
Sacramento Kings,Brooklyn Nets,0.5353737515752316
Atlanta Hawks,Golden State Warriors,0.567707522040676
Chicago Bulls,Dallas Mavericks,0.5590333397125702
Los Angeles Clippers,New York Knicks,0.5498497957564098
Memphis Grizzlies,Denver Nuggets,0.5361706544391976
Milwaukee Bucks,Indiana Pacers,0.559901021522788
Orlando Magic,Detroit Pistons,0.5390521822298552
Philadelphia 76ers,Charlotte Hornets,0.52964720879436
Phoenix Suns,Oklahoma City Thunder,0.540862689239821
Utah Jazz,Minnesota Timberwolves,0.5442324775988172
Washington Wizards,Toronto Raptors,0.5953220857216769
Cleveland Cavaliers,Denver Nuggets,0.5037200922210704
Houston Rockets,Boston Celtics,0.5663762152701278
Miami Heat,Detroit Pistons,0.53613602106766
Orlando Magic,Memphis Grizzlies,0.5503832260949177
Portland Trail Blazers,Oklahoma City Thunder,0.5715770919401396
Sacramento Kings,Utah Jazz,0.5642861382148623
San Antonio Spurs,Los Angeles Lakers,0.5299528523289677
Atlanta Hawks,Phoenix Suns,0.5100694511475291
Dallas Mavericks,New Orleans Pelicans,0.5358288301399231
Los Angeles Clippers,Brooklyn Nets,0.539881590083665
Milwaukee Bucks,Philadelphia 76ers,0.5551360538481522
Sacramento Kings,New York Knicks,0.5453573762187462
Toronto Raptors,Charlotte Hornets,0.5381071808358814
Washington Wizards,Indiana Pacers,0.5773898062132615
Chicago Bulls,Boston Celtics,0.5527396742114355
Cleveland Cavaliers,Detroit Pistons,0.520591945670327
Indiana Pacers,Milwaukee Bucks,0.5729855551496214
Los Angeles Lakers,Portland Trail Blazers,0.5467591731777316
Phoenix Suns,Miami Heat,0.5005713933781013
San Antonio Spurs,Memphis Grizzlies,0.548485051431467
Utah Jazz,Orlando Magic,0.533645493909237
Charlotte Hornets,Philadelphia 76ers,0.5415237817928527
Dallas Mavericks,Denver Nuggets,0.5145368736035534
Golden State Warriors,Brooklyn Nets,0.5302354788972418
Los Angeles Clippers,New Orleans Pelicans,0.5471195087543549
Oklahoma City Thunder,Houston Rockets,0.5500569439075615
Portland Trail Blazers,New York Knicks,0.5626094776275882
Toronto Raptors,Atlanta Hawks,0.5691021829759878
Washington Wizards,Miami Heat,0.5753592094215723
Chicago Bulls,Memphis Grizzlies,0.5501476751603324
Denver Nuggets,Cleveland Cavaliers,0.5466521541863565
Detroit Pistons,Toronto Raptors,0.563423056665516
Indiana Pacers,Utah Jazz,0.5583459601246462
Los Angeles Lakers,Orlando Magic,0.5438671984180431
Milwaukee Bucks,Houston Rockets,0.5656193765661267
Sacramento Kings,New Orleans Pelicans,0.5426225067558677
Charlotte Hornets,Brooklyn Nets,0.526566133519993
Golden State Warriors,San Antonio Spurs,0.5469316554104271
Miami Heat,Philadelphia 76ers,0.5482496692914518
Minnesota Timberwolves,Boston Celtics,0.5271368853183231
Phoenix Suns,Oklahoma City Thunder,0.5093842487229643
Denver Nuggets,Los Angeles Lakers,0.5018823945145017
Detroit Pistons,Chicago Bulls,0.5504260678936991
Indiana Pacers,Atlanta Hawks,0.5699500460750899
Los Angeles Clippers,Cleveland Cavaliers,0.5797857113018157
Memphis Grizzlies,Utah Jazz,0.5788377837990369
Milwaukee Bucks,New York Knicks,0.5502123535792613
New Orleans Pelicans,Washington Wizards,0.6174683099856857
Portland Trail Blazers,Golden State Warriors,0.5763992858030662
Sacramento Kings,Orlando Magic,0.5347239125626382
Toronto Raptors,Houston Rockets,0.553993396061489
Phoenix Suns,Charlotte Hornets,0.507351503908433
Dallas Mavericks,Memphis Grizzlies,0.5427427502868779
Los Angeles Clippers,Orlando Magic,0.5392326296672081
Miami Heat,Washington Wizards,0.6290026051613762
Oklahoma City Thunder,San Antonio Spurs,0.5412616102196919
Atlanta Hawks,Chicago Bulls,0.5687506098300436
Boston Celtics,Indiana Pacers,0.5528958235171514
Brooklyn Nets,Philadelphia 76ers,0.5355774013383504
